retweet_count,mention_count,follower_count,verified,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days
85,1,2353,0,83,5,0,0,1114
55,5,9617,1,77,14,2,1,186
6,2,4363,1,61,10,2,1,296
54,5,2242,1,49,6,4,1,654
26,3,8438,0,29,6,2,1,1142
41,4,3792,1,61,7,5,1,23
54,0,10,1,40,9,1,1,860
64,0,1442,0,48,12,3,1,352
25,2,836,0,34,14,0,0,527
67,3,6523,0,72,11,2,1,305
57,4,8694,0,46,12,0,0,1003
29,1,5986,1,59,12,4,1,809
60,2,6779,0,48,5,0,0,716
61,0,6073,1,47,8,4,1,17
21,2,4846,0,39,9,3,1,925
78,1,2342,0,77,10,2,1,892
64,5,6947,0,43,14,3,1,409
43,4,7945,0,70,11,2,1,179
39,0,8305,1,58,9,4,1,876
8,2,1256,0,44,9,4,1,165
26,4,653,1,79,18,0,0,1135
84,4,5466,0,86,12,0,0,1187
86,1,5131,1,54,7,3,1,670
55,0,5278,0,91,7,2,1,1030
56,1,3347,1,39,9,2,1,1029
43,2,4851,0,70,9,3,1,1080
49,5,7600,0,55,10,0,0,696
7,0,706,0,62,8,0,0,994
75,1,7313,1,43,7,4,1,1104
39,0,337,0,41,13,5,1,689
77,1,7006,0,50,3,2,1,1240
40,2,697,1,62,11,5,1,591
25,5,4517,1,54,8,5,1,410
15,2,1785,1,48,11,1,1,1165
85,0,4057,1,86,10,5,1,393
13,0,7925,0,84,6,4,1,825
63,4,2804,1,51,10,3,1,922
75,4,3544,1,38,10,4,1,994
58,1,2063,0,63,8,0,0,848
34,5,466,0,78,9,2,1,512
66,1,2852,0,70,10,3,1,677
18,0,3782,1,47,12,2,1,787
0,3,4581,0,56,15,1,1,15
21,3,6979,0,35,6,2,1,606
7,3,7523,1,44,7,1,1,476
39,0,3755,0,68,8,1,1,571
34,4,6933,0,34,11,3,1,362
72,0,8386,0,48,7,0,0,560
24,5,4096,0,38,9,2,1,291
77,0,7967,0,50,12,4,1,358
87,5,5785,1,88,9,3,1,1183
44,1,7504,1,50,13,1,1,606
46,4,7074,0,70,12,2,1,1196
44,4,1910,0,68,10,3,1,113
10,4,415,1,77,15,2,1,918
23,4,6001,1,42,15,0,0,1179
28,3,1723,0,36,10,4,1,854
43,1,2461,0,48,13,1,1,173
3,1,5049,1,84,12,2,1,449
86,5,1385,1,60,7,5,1,309
8,2,7760,1,66,12,5,1,1222
71,2,1639,0,79,12,5,1,1040
89,1,2309,0,88,12,3,1,931
10,0,51,1,47,10,0,0,691
59,5,1918,1,70,7,1,1,69
97,2,3028,1,53,6,0,0,92
70,5,2560,0,52,8,4,1,1123
88,4,4914,0,76,10,0,0,718
6,0,4710,0,41,9,1,1,652
25,5,3056,0,57,7,2,1,970
69,1,7828,0,71,9,1,1,829
81,0,7844,0,75,11,2,1,176
71,3,4182,0,79,14,1,1,826
71,1,2230,0,66,12,1,1,1062
57,5,1120,0,72,13,0,0,660
99,1,225,1,55,7,0,0,1031
86,3,9114,0,71,14,3,1,556
28,4,194,1,70,10,0,0,1202
58,0,7723,1,72,7,2,1,695
34,2,3898,1,87,8,2,1,1140
37,2,5368,1,68,6,3,1,75
4,3,9940,0,56,7,4,1,257
57,4,7005,0,54,7,0,0,53
93,4,9784,1,43,12,1,1,967
8,0,7889,0,41,14,1,1,1022
30,1,3370,0,72,10,2,1,826
37,0,8427,1,61,7,0,0,721
74,2,5051,1,72,14,2,1,471
21,5,3898,0,64,9,4,1,333
62,3,7586,0,43,11,4,1,436
58,4,3745,1,42,7,4,1,133
90,5,987,1,38,11,4,1,612
20,3,4248,0,64,8,1,1,623
56,3,6272,0,49,14,4,1,164
0,5,7444,1,49,9,5,1,218
98,4,3267,1,78,7,3,1,998
55,4,7220,1,81,13,2,1,1099
76,2,5312,1,64,8,1,1,704
92,5,5758,0,75,13,4,1,511
5,3,2283,1,78,9,3,1,1140
17,3,6652,0,58,6,0,0,172
28,5,2120,0,77,11,1,1,1125
85,3,7910,1,53,7,2,1,218
52,5,9599,0,65,13,2,1,880
83,3,977,0,80,10,3,1,576
28,4,1984,1,71,6,4,1,969
8,3,9401,1,34,7,0,0,883
0,2,3521,1,52,13,1,1,1161
89,2,6498,1,85,8,3,1,1079
35,1,6757,0,99,9,5,1,542
86,3,8534,0,38,5,0,0,666
39,5,842,0,37,10,2,1,338
86,2,8708,1,77,8,5,1,391
43,0,5186,1,58,14,5,1,468
89,5,4960,0,83,10,2,1,902
44,4,6622,0,58,6,4,1,341
45,5,91,1,44,9,1,1,762
91,3,400,0,47,14,0,0,614
97,3,8861,0,54,16,1,1,532
30,2,766,0,57,9,0,0,421
25,1,6675,0,76,13,5,1,208
92,0,1743,0,68,7,2,1,6
3,0,9348,1,101,13,3,1,543
56,2,7622,0,34,12,2,1,13
35,3,3162,1,87,8,1,1,636
9,1,8542,1,36,12,5,1,739
34,3,8483,0,52,6,3,1,711
65,3,8527,1,50,13,5,1,250
39,4,4814,1,68,12,2,1,285
92,5,5995,0,94,10,0,0,195
91,1,9921,0,89,9,5,1,139
