user_id,retweet_count,mention_count,follower_count,verified,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days,bot_label
132131,85,1,2353,0,83,5,0,0,1114,1
289683,55,5,9617,1,77,14,2,1,186,0
779715,6,2,4363,1,61,10,2,1,296,0
696168,54,5,2242,1,49,6,4,1,654,1
704441,26,3,8438,0,29,6,2,1,1142,1
570928,41,4,3792,1,61,7,5,1,23,1
734182,54,0,10,1,40,9,1,1,860,0
107312,64,0,1442,0,48,12,3,1,352,1
549888,25,2,836,0,34,14,0,0,527,0
117640,67,3,6523,0,72,11,2,1,305,1
576805,57,4,8694,0,46,12,0,0,1003,1
758550,29,1,5986,1,59,12,4,1,809,1
383629,60,2,6779,0,48,5,0,0,716,0
850918,61,0,6073,1,47,8,4,1,17,0
675134,21,2,4846,0,39,9,3,1,925,0
607798,78,1,2342,0,77,10,2,1,892,0
946597,64,5,6947,0,43,14,3,1,409,1
212211,43,4,7945,0,70,11,2,1,179,0
595841,39,0,8305,1,58,9,4,1,876,1
295469,8,2,1256,0,44,9,4,1,165,0
463487,26,4,653,1,79,18,0,0,1135,1
343343,84,4,5466,0,86,12,0,0,1187,0
631945,86,1,5131,1,54,7,3,1,670,1
926923,55,0,5278,0,91,7,2,1,1030,1
127337,56,1,3347,1,39,9,2,1,1029,1
580954,43,2,4851,0,70,9,3,1,1080,0
432390,49,5,7600,0,55,10,0,0,696,1
131479,7,0,706,0,62,8,0,0,994,1
811404,75,1,7313,1,43,7,4,1,1104,1
138974,39,0,337,0,41,13,5,1,689,1
267991,77,1,7006,0,50,3,2,1,1240,0
688953,40,2,697,1,62,11,5,1,591,0
391036,25,5,4517,1,54,8,5,1,410,0
194223,15,2,1785,1,48,11,1,1,1165,0
238448,85,0,4057,1,86,10,5,1,393,1
381356,13,0,7925,0,84,6,4,1,825,0
387922,63,4,2804,1,51,10,3,1,922,1
150095,75,4,3544,1,38,10,4,1,994,1
344916,58,1,2063,0,63,8,0,0,848,0
558415,34,5,466,0,78,9,2,1,512,0
725104,66,1,2852,0,70,10,3,1,677,1
814899,18,0,3782,1,47,12,2,1,787,0
187298,0,3,4581,0,56,15,1,1,15,0
763755,21,3,6979,0,35,6,2,1,606,0
593693,7,3,7523,1,44,7,1,1,476,0
388689,39,0,3755,0,68,8,1,1,571,0
233166,34,4,6933,0,34,11,3,1,362,0
460341,72,0,8386,0,48,7,0,0,560,1
180001,24,5,4096,0,38,9,2,1,291,1
635556,77,0,7967,0,50,12,4,1,358,1
522978,87,5,5785,1,88,9,3,1,1183,0
200604,44,1,7504,1,50,13,1,1,606,0
105383,46,4,7074,0,70,12,2,1,1196,0
744296,44,4,1910,0,68,10,3,1,113,1
332454,10,4,415,1,77,15,2,1,918,0
281416,23,4,6001,1,42,15,0,0,1179,0
552441,28,3,1723,0,36,10,4,1,854,1
950576,43,1,2461,0,48,13,1,1,173,0
608641,3,1,5049,1,84,12,2,1,449,1
835839,86,5,1385,1,60,7,5,1,309,1
593237,8,2,7760,1,66,12,5,1,1222,0
107084,71,2,1639,0,79,12,5,1,1040,1
303633,89,1,2309,0,88,12,3,1,931,1
598545,10,0,51,1,47,10,0,0,691,0
469564,59,5,1918,1,70,7,1,1,69,1
913533,97,2,3028,1,53,6,0,0,92,0
301182,70,5,2560,0,52,8,4,1,1123,0
455069,88,4,4914,0,76,10,0,0,718,0
786663,6,0,4710,0,41,9,1,1,652,1
788887,25,5,3056,0,57,7,2,1,970,0
172922,69,1,7828,0,71,9,1,1,829,0
975248,81,0,7844,0,75,11,2,1,176,0
445071,71,3,4182,0,79,14,1,1,826,1
162555,71,1,2230,0,66,12,1,1,1062,1
700151,57,5,1120,0,72,13,0,0,660,0
596289,99,1,225,1,55,7,0,0,1031,1
713064,86,3,9114,0,71,14,3,1,556,1
265775,28,4,194,1,70,10,0,0,1202,0
446708,58,0,7723,1,72,7,2,1,695,1
123595,34,2,3898,1,87,8,2,1,1140,1
604212,37,2,5368,1,68,6,3,1,75,1
868723,4,3,9940,0,56,7,4,1,257,1
654767,57,4,7005,0,54,7,0,0,53,1
890737,93,4,9784,1,43,12,1,1,967,0
655941,8,0,7889,0,41,14,1,1,1022,1
632393,30,1,3370,0,72,10,2,1,826,0
884365,37,0,8427,1,61,7,0,0,721,0
823120,74,2,5051,1,72,14,2,1,471,1
552971,21,5,3898,0,64,9,4,1,333,0
433484,62,3,7586,0,43,11,4,1,436,1
393090,58,4,3745,1,42,7,4,1,133,1
488569,90,5,987,1,38,11,4,1,612,1
664797,20,3,4248,0,64,8,1,1,623,1
209150,56,3,6272,0,49,14,4,1,164,1
625311,0,5,7444,1,49,9,5,1,218,0
261949,98,4,3267,1,78,7,3,1,998,1
975759,55,4,7220,1,81,13,2,1,1099,0
812820,76,2,5312,1,64,8,1,1,704,0
175102,92,5,5758,0,75,13,4,1,511,1
251720,5,3,2283,1,78,9,3,1,1140,0
105124,17,3,6652,0,58,6,0,0,172,0
430675,28,5,2120,0,77,11,1,1,1125,0
783601,85,3,7910,1,53,7,2,1,218,0
489080,52,5,9599,0,65,13,2,1,880,1
375266,83,3,977,0,80,10,3,1,576,1
425989,28,4,1984,1,71,6,4,1,969,0
911306,8,3,9401,1,34,7,0,0,883,1
786471,0,2,3521,1,52,13,1,1,1161,0
541230,89,2,6498,1,85,8,3,1,1079,0
979072,35,1,6757,0,99,9,5,1,542,0
863236,86,3,8534,0,38,5,0,0,666,0
958231,39,5,842,0,37,10,2,1,338,1
290093,86,2,8708,1,77,8,5,1,391,1
904320,43,0,5186,1,58,14,5,1,468,0
918228,89,5,4960,0,83,10,2,1,902,0
556584,44,4,6622,0,58,6,4,1,341,0
657236,45,5,91,1,44,9,1,1,762,0
186382,91,3,400,0,47,14,0,0,614,1
834207,97,3,8861,0,54,16,1,1,532,0
705093,30,2,766,0,57,9,0,0,421,1
402143,25,1,6675,0,76,13,5,1,208,0
540118,92,0,1743,0,68,7,2,1,6,0
105179,3,0,9348,1,101,13,3,1,543,1
868659,56,2,7622,0,34,12,2,1,13,1
694805,35,3,3162,1,87,8,1,1,636,0
121978,9,1,8542,1,36,12,5,1,739,1
633215,34,3,8483,0,52,6,3,1,711,1
975822,65,3,8527,1,50,13,5,1,250,0
271872,39,4,4814,1,68,12,2,1,285,1
433950,92,5,5995,0,94,10,0,0,195,1
593803,91,1,9921,0,89,9,5,1,139,1
236318,34,5,1748,1,63,9,4,1,1157,0
622010,52,2,8353,1,46,14,5,1,284,0
443899,19,4,1966,1,66,9,5,1,681,1
313627,97,0,732,1,47,10,2,1,629,0
587424,20,5,8483,0,79,16,0,0,589,1
187246,87,3,1918,1,54,7,1,1,849,1
644545,51,0,2540,0,58,10,5,1,1137,0
986495,65,1,7712,0,41,10,3,1,835,0
763466,73,0,4440,0,58,9,5,1,966,1
995441,51,5,823,1,44,11,2,1,117,1
320912,11,2,2197,0,72,8,1,1,1063,1
219810,92,1,4189,1,81,6,3,1,1086,1
654970,25,2,7442,1,70,10,0,0,422,0
227157,6,4,9362,0,67,7,3,1,624,1
925810,10,1,6976,0,48,10,4,1,540,0
565871,14,1,8902,1,72,8,1,1,1211,1
759323,76,0,7346,0,76,10,1,1,830,1
891728,72,0,3183,1,63,11,3,1,16,1
266330,35,3,9422,1,70,6,1,1,1047,1
292191,89,3,1800,0,52,11,1,1,829,1
816187,89,2,5759,0,76,6,4,1,60,0
620605,2,2,9113,1,57,14,5,1,95,1
853439,100,2,8759,1,57,13,3,1,867,0
898158,44,3,6315,0,88,9,5,1,723,0
400856,18,1,9649,0,45,6,5,1,806,1
251579,73,1,8997,0,40,8,2,1,111,1
992703,86,5,8550,1,44,13,2,1,1063,1
210091,70,3,6598,1,50,11,4,1,761,1
529925,64,4,6411,0,68,12,0,0,402,0
414325,65,3,2560,0,95,11,3,1,1045,0
588159,6,5,2427,1,67,5,0,0,688,0
866255,92,1,6811,1,73,13,4,1,5,1
474538,57,5,7495,1,36,9,4,1,156,1
625709,39,2,2415,1,62,14,1,1,1029,1
929996,83,3,7270,0,67,6,0,0,455,0
621277,41,0,4225,0,78,12,4,1,135,0
414075,55,5,3614,1,67,10,2,1,1048,1
992789,81,4,1635,1,52,10,0,0,1057,0
415672,76,1,4522,0,72,6,2,1,1138,0
528303,16,3,6963,0,67,12,0,0,945,1
201440,18,4,6403,1,59,13,5,1,291,0
893920,9,3,8380,0,53,13,2,1,1042,1
461665,25,3,5069,0,57,7,3,1,905,1
191663,95,1,2891,0,74,13,5,1,1106,0
176832,43,3,8483,0,36,6,1,1,316,1
308851,88,2,4470,1,92,9,2,1,70,0
847924,77,4,8561,1,86,13,4,1,480,1
175139,43,1,8950,0,40,8,1,1,627,0
843797,70,1,4062,1,55,13,3,1,940,0
874451,78,2,4405,1,54,10,3,1,611,1
226267,55,2,5768,1,74,8,3,1,660,1
114999,7,2,4304,0,42,12,4,1,299,0
903576,5,1,7430,1,77,8,2,1,835,1
663374,10,3,4748,1,45,9,0,0,788,0
375947,3,5,5111,1,71,16,4,1,732,0
759961,69,4,4304,0,79,9,5,1,944,0
827904,73,0,2816,0,71,6,0,0,240,0
841228,16,0,2535,1,74,7,2,1,663,0
598627,4,5,1564,0,66,11,0,0,93,1
558061,72,2,6742,0,81,11,4,1,106,0
681701,93,3,8105,1,46,13,2,1,1094,1
982892,59,1,7846,1,59,8,0,0,880,1
577040,51,4,2476,0,86,8,2,1,245,1
676804,96,0,2918,1,54,16,4,1,506,0
764693,48,4,3200,0,81,12,5,1,524,1
736369,95,3,2073,1,55,5,2,1,246,0
539876,31,0,4729,1,77,11,4,1,868,0
803114,36,5,5375,1,60,16,0,0,629,1
529620,86,5,2553,0,81,14,1,1,169,0
995013,14,4,543,0,91,13,5,1,946,0
577551,83,2,4567,0,43,8,5,1,73,0
839022,31,3,2212,1,51,6,4,1,236,0
580678,65,2,2631,1,48,14,2,1,118,1
479464,72,2,1423,0,61,11,5,1,250,1
452177,97,2,6542,0,69,9,5,1,234,0
230868,60,3,6160,0,46,9,4,1,37,0
507394,73,4,6635,0,66,10,3,1,735,1
980557,28,3,2902,0,84,7,3,1,416,1
104697,99,1,7208,0,57,11,4,1,63,1
992934,98,5,8423,1,81,13,1,1,688,1
557867,62,5,2421,0,53,5,3,1,1048,1
942666,31,4,8085,0,74,6,3,1,706,1
782468,80,1,9856,0,77,9,5,1,791,0
627300,79,1,7284,0,57,11,5,1,899,1
373291,60,2,184,0,44,7,1,1,1184,0
403580,19,1,5686,1,72,10,3,1,874,1
914454,32,0,1535,1,81,5,4,1,761,0
779971,86,4,7236,1,48,9,0,0,679,0
506523,8,2,9318,0,36,7,1,1,151,0
222497,47,3,6039,1,56,9,0,0,1005,0
392905,42,0,7815,0,56,11,1,1,538,1
907727,56,1,7525,0,38,5,4,1,1214,0
382180,77,2,4463,1,50,15,2,1,123,0
267580,47,2,3551,0,82,7,1,1,332,0
913252,50,2,1762,1,44,9,1,1,1173,1
968082,97,2,6747,0,75,8,4,1,426,0
113232,49,4,4905,1,67,19,3,1,271,1
296660,3,4,3321,0,69,13,0,0,885,0
736553,65,3,3744,0,56,6,0,0,1220,0
544513,81,0,5477,0,49,10,0,0,136,1
299510,86,3,5227,1,98,11,2,1,828,0
783572,62,4,9421,1,57,4,2,1,699,1
465144,48,3,3824,1,54,11,3,1,557,0
875423,71,2,6219,1,71,5,0,0,767,0
497045,78,1,2792,1,52,12,3,1,455,0
123290,85,4,8955,0,60,16,3,1,381,1
805444,88,0,3565,0,44,15,3,1,707,1
571592,79,1,990,1,51,14,3,1,898,1
818189,27,3,5343,0,53,11,3,1,1168,1
333908,18,0,4711,0,37,12,5,1,275,1
666121,31,3,7164,1,48,15,4,1,359,1
896227,6,0,5996,1,70,8,1,1,466,1
883667,44,1,3304,1,38,13,2,1,789,0
187192,62,1,939,1,48,14,4,1,35,0
881150,12,0,9606,1,80,9,0,0,851,1
877474,0,0,7421,0,92,11,3,1,781,0
573830,83,5,1946,1,83,8,1,1,490,0
585862,19,5,7292,1,53,10,1,1,873,0
780554,71,2,9954,0,48,12,5,1,243,1
138700,16,4,4451,1,75,10,1,1,0,1
711691,45,5,9583,1,91,6,1,1,826,0
967819,90,2,7363,1,54,12,1,1,302,0
448377,66,5,7025,0,75,10,3,1,1129,1
508187,90,1,3417,1,55,12,4,1,1240,1
241479,29,1,8448,0,47,6,3,1,1225,1
207435,10,3,8556,0,66,6,1,1,417,0
128235,98,5,8151,1,40,9,1,1,381,1
399371,99,1,6228,1,100,9,0,0,267,1
749330,75,0,7407,0,37,8,5,1,1238,1
646528,1,5,6811,1,60,12,2,1,218,1
884942,83,5,8837,0,35,10,5,1,185,0
678998,48,2,547,0,76,7,1,1,528,0
142955,62,5,1373,0,76,5,2,1,654,1
829799,38,4,9861,1,48,12,5,1,36,1
564216,49,2,1947,0,95,16,4,1,833,1
469994,26,1,8341,1,63,12,2,1,220,0
749565,17,5,2256,0,87,7,5,1,890,0
118226,94,5,1698,0,74,11,5,1,112,1
962871,76,3,2773,0,50,6,1,1,1186,1
150720,11,4,7732,1,39,11,4,1,285,0
252252,14,4,6242,1,39,13,5,1,1106,1
857074,97,2,7321,1,69,8,2,1,200,1
348345,67,5,5981,0,70,6,0,0,72,1
467653,11,1,3231,1,44,14,2,1,1160,1
109243,52,0,1759,0,80,8,2,1,3,0
592202,3,4,7168,1,39,6,5,1,9,0
915209,68,1,1945,1,75,9,0,0,756,0
556050,55,3,1518,1,82,13,1,1,638,1
