user_id,retweet_count,mention_count,follower_count,verified,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days,bot_label,cluster,is_anomaly
549888,25,2,836,0,34,14,0,0,527,0,-1,1
463487,26,4,653,1,79,18,0,0,1135,1,-1,1
267991,77,1,7006,0,50,3,2,1,1240,0,-1,1
187298,0,3,4581,0,56,15,1,1,15,0,-1,1
979072,35,1,6757,0,99,9,5,1,542,0,-1,1
834207,97,3,8861,0,54,16,1,1,532,0,-1,1
105179,3,0,9348,1,101,13,3,1,543,1,-1,1
433950,92,5,5995,0,94,10,0,0,195,1,-1,1
593803,91,1,9921,0,89,9,5,1,139,1,-1,1
587424,20,5,8483,0,79,16,0,0,589,1,-1,1
676804,96,0,2918,1,54,16,4,1,506,0,-1,1
803114,36,5,5375,1,60,16,0,0,629,1,-1,1
113232,49,4,4905,1,67,19,3,1,271,1,-1,1
299510,86,3,5227,1,98,11,2,1,828,0,-1,1
399371,99,1,6228,1,100,9,0,0,267,1,-1,1
564216,49,2,1947,0,95,16,4,1,833,1,-1,1
421319,5,3,3740,1,41,16,2,1,1196,0,-1,1
552104,100,4,7159,0,46,3,2,1,2,0,-1,1
902756,79,1,7709,1,61,16,2,1,1173,0,-1,1
882415,61,0,1430,1,92,6,5,1,1122,1,-1,1
832417,96,2,3594,1,82,20,2,1,921,0,-1,1
385419,39,2,8717,1,81,17,3,1,1085,0,-1,1
396637,80,1,2121,1,28,16,0,0,97,0,-1,1
540653,29,4,6261,1,93,16,1,1,480,0,-1,1
711180,100,0,1285,1,88,12,1,1,1119,1,-1,1
453575,37,5,8128,0,81,15,3,1,18,0,-1,1
562039,7,5,141,1,85,11,0,0,805,0,-1,1
487097,94,4,800,1,49,15,0,0,921,0,-1,1
165060,93,4,3304,1,39,6,0,0,1052,0,-1,1
665664,2,1,460,0,84,17,1,1,11,0,-1,1
509105,61,5,9658,1,45,13,0,0,336,1,-1,1
107175,48,0,7575,1,54,18,4,1,1216,1,-1,1
160625,16,1,9836,0,75,12,0,0,14,0,-1,1
932300,29,1,725,1,62,20,5,1,12,1,-1,1
129824,96,5,1130,1,43,15,0,0,1175,0,-1,1
358948,31,4,6290,0,50,17,5,1,289,0,-1,1
216291,99,0,5172,1,71,17,4,1,714,1,-1,1
292291,53,4,5335,0,103,11,3,1,946,1,-1,1
768006,48,1,3956,0,74,17,2,1,705,0,-1,1
814697,26,4,1800,0,60,18,2,1,430,0,-1,1
193285,95,4,9911,0,48,13,0,0,378,1,-1,1
736427,60,0,190,1,39,16,2,1,1159,1,-1,1
928272,67,2,3512,0,101,6,4,1,390,1,-1,1
236992,5,0,9549,0,77,14,0,0,220,1,-1,1
731578,32,0,5933,1,74,15,5,1,1108,1,-1,1
909824,86,0,8644,1,33,13,1,1,108,1,-1,1
898670,69,0,9813,1,79,14,5,1,1243,1,-1,1
148188,79,0,2307,0,101,9,5,1,1188,1,-1,1
497156,16,3,2,1,91,6,5,1,796,0,-1,1
276634,21,2,5833,1,70,16,0,0,1086,0,-1,1
647825,1,1,150,1,53,15,0,0,10,1,-1,1
704860,31,4,9790,0,64,16,2,1,381,0,-1,1
638388,58,4,8201,0,101,10,1,1,393,0,-1,1
954313,72,5,1720,1,104,7,3,1,950,1,-1,1
955688,79,1,2008,1,49,16,0,0,932,1,-1,1
402436,20,5,7209,0,53,15,4,1,813,0,-1,1
207786,87,2,574,0,68,18,1,1,59,1,-1,1
105470,1,0,9990,1,72,10,0,0,784,0,-1,1
586129,71,3,6663,1,60,18,3,1,726,0,-1,1
687213,44,0,5750,0,66,21,1,1,128,1,-1,1
235191,7,0,1931,1,38,7,0,0,1185,1,-1,1
488659,68,1,9233,1,104,8,4,1,880,0,-1,1
832471,11,5,1657,0,72,13,0,0,30,1,-1,1
443655,66,0,7154,0,96,16,1,1,131,0,-1,1
257725,90,5,9654,0,46,15,5,1,238,0,-1,1
363423,96,4,9605,1,51,15,1,1,891,0,-1,1
684422,78,3,9200,1,104,5,5,1,131,1,-1,1
945977,16,3,283,1,41,18,1,1,530,1,-1,1
497690,11,5,1342,1,35,15,5,1,960,0,-1,1
784058,97,5,7276,1,43,16,3,1,582,1,-1,1
705288,12,0,838,0,46,16,0,0,814,0,-1,1
300262,37,4,9926,1,77,14,0,0,1216,0,-1,1
993460,25,5,2185,1,45,16,4,1,762,0,-1,1
340712,31,4,9092,0,65,18,2,1,627,1,-1,1
947396,8,5,4579,1,62,18,3,1,832,0,-1,1
857343,86,4,107,0,101,12,0,0,841,0,-1,1
999074,99,4,1215,0,41,15,2,1,632,1,-1,1
971907,72,0,1530,0,80,15,2,1,1159,1,-1,1
340845,49,2,311,0,101,13,1,1,744,1,-1,1
424405,47,1,2411,0,80,4,5,1,63,0,-1,1
419392,58,5,3938,1,44,15,0,0,1215,1,-1,1
982835,81,2,8955,1,79,17,0,0,638,1,-1,1
523474,84,3,9429,0,52,15,0,0,610,1,-1,1
333839,84,2,5957,1,98,16,0,0,1,1,-1,1
243136,75,5,2245,0,37,17,2,1,202,0,-1,1
160662,70,3,4602,0,40,15,2,1,1235,1,-1,1
523031,72,5,1082,1,99,11,0,0,998,1,-1,1
152523,79,4,8943,0,62,5,0,0,213,1,-1,1
688613,90,3,22,1,38,14,1,1,460,1,-1,1
755510,1,3,8830,0,103,9,3,1,294,1,-1,1
335899,31,1,6013,0,95,8,0,0,1223,1,-1,1
919779,2,2,9723,1,88,9,0,0,66,0,-1,1
457969,36,0,8836,1,41,17,1,1,872,1,-1,1
719405,30,4,6507,0,93,15,4,1,1158,0,-1,1
962241,18,4,599,1,55,17,3,1,248,1,-1,1
671226,83,5,9341,0,76,5,0,0,1013,0,-1,1
706242,100,5,7737,0,43,14,1,1,1080,0,-1,1
565710,74,0,3905,0,74,15,0,0,816,1,-1,1
293854,94,3,9716,0,84,6,0,0,777,1,-1,1
301448,31,5,2321,0,64,19,5,1,985,0,-1,1
472257,99,1,6077,0,88,16,5,1,505,1,-1,1
343034,15,4,3332,0,67,17,3,1,550,0,-1,1
274438,77,2,4250,0,82,15,1,1,1231,1,-1,1
351499,98,5,8942,0,65,7,0,0,56,1,-1,1
975275,6,0,8359,0,68,16,2,1,81,1,-1,1
275901,73,5,1681,0,34,15,0,0,806,1,-1,1
825983,39,1,8164,0,85,15,5,1,1205,1,-1,1
185900,83,0,8745,1,35,14,2,1,649,1,-1,1
815676,81,0,2010,0,83,15,5,1,34,1,-1,1
119551,76,5,4122,0,39,16,1,1,1077,0,-1,1
406434,31,4,6671,1,63,17,1,1,236,0,-1,1
386031,24,5,90,0,69,13,0,0,1020,0,-1,1
206795,39,5,9437,1,42,13,0,0,38,0,-1,1
624387,62,4,2428,1,65,17,5,1,343,1,-1,1
306877,56,3,9814,0,96,7,3,1,1242,0,-1,1
918324,17,2,3565,1,104,9,5,1,861,0,-1,1
907742,8,3,1361,0,46,16,0,0,975,1,-1,1
509522,89,5,946,1,93,7,0,0,331,0,-1,1
421354,90,0,2505,1,90,15,1,1,599,0,-1,1
739402,24,2,3324,1,86,19,2,1,340,1,-1,1
606043,2,0,5781,0,77,17,2,1,969,0,-1,1
559750,84,5,2140,0,55,18,3,1,938,1,-1,1
855453,1,0,7267,1,38,7,1,1,1244,0,-1,1
829339,99,4,4882,1,94,12,3,1,25,0,-1,1
234094,88,1,3208,0,88,16,5,1,110,0,-1,1
531528,67,2,8030,1,95,16,3,1,623,1,-1,1
747430,10,0,585,0,78,15,5,1,734,1,-1,1
205741,80,1,1399,1,90,15,1,1,148,0,-1,1
178658,87,5,8522,1,92,6,2,1,146,0,-1,1
326745,41,4,2441,0,40,15,0,0,570,0,-1,1
720004,97,5,9185,1,94,9,0,0,335,0,-1,1
868311,20,3,581,0,40,13,0,0,1092,0,-1,1
795072,46,2,8473,1,34,17,4,1,825,1,-1,1
667097,42,1,1381,0,83,17,3,1,171,1,-1,1
551745,58,0,363,1,90,13,2,1,1191,1,-1,1
252856,97,5,9188,1,46,19,4,1,261,1,-1,1
971231,11,2,8043,0,35,16,2,1,992,0,-1,1
441237,24,5,903,0,75,16,4,1,993,0,-1,1
899849,40,5,6686,1,65,17,2,1,1145,0,-1,1
798507,88,5,2634,1,91,13,0,0,99,1,-1,1
633466,94,0,1328,1,48,6,0,0,561,0,-1,1
345666,69,0,3343,1,93,12,4,1,895,1,-1,1
477136,11,1,3031,1,46,17,0,0,1027,0,-1,1
739263,9,5,580,1,88,14,2,1,676,0,-1,1
362405,5,1,3850,0,92,7,0,0,743,1,-1,1
316121,1,5,2460,0,95,7,1,1,124,1,-1,1
540424,17,3,2378,0,36,15,0,0,1121,1,-1,1
507524,84,1,5928,0,61,17,5,1,1092,1,-1,1
798411,30,0,2259,0,79,3,0,0,922,0,-1,1
634886,15,4,8930,0,69,16,5,1,1229,1,-1,1
922858,92,4,6989,0,50,5,0,0,966,1,-1,1
713360,42,2,9191,1,64,17,3,1,140,0,-1,1
745218,94,2,9398,1,91,14,5,1,65,0,-1,1
477639,1,5,8891,0,46,18,5,1,66,0,-1,1
289270,22,1,2859,1,75,17,2,1,908,0,-1,1
434045,43,1,2309,1,93,14,1,1,819,0,-1,1
750846,62,1,8821,0,37,5,0,0,1144,0,-1,1
590798,83,5,2559,0,99,13,5,1,775,0,-1,1
420606,55,3,84,1,85,4,0,0,518,0,-1,1
244850,87,0,322,0,93,7,2,1,253,1,-1,1
395067,92,3,5511,0,93,11,0,0,49,0,-1,1
749708,1,2,9918,0,53,13,0,0,1146,0,-1,1
167071,2,5,9003,0,38,6,0,0,617,1,-1,1
360060,69,3,801,0,45,17,2,1,1010,1,-1,1
866796,93,1,9842,0,41,6,0,0,45,1,-1,1
756588,56,0,8620,1,67,19,0,0,713,1,-1,1
242264,100,5,648,1,90,11,0,0,816,0,-1,1
119027,6,0,8662,1,32,8,4,1,99,0,-1,1
922319,100,4,9718,1,35,7,2,1,221,1,-1,1
109350,8,5,6945,0,51,18,1,1,682,1,-1,1
708500,92,1,601,0,69,6,0,0,94,0,-1,1
569299,100,3,3335,0,37,14,1,1,1186,1,-1,1
448090,10,3,5441,1,99,12,5,1,920,0,-1,1
269065,4,2,8612,1,73,12,0,0,557,0,-1,1
449492,94,0,8656,0,44,16,0,0,148,0,-1,1
675283,60,3,7244,1,40,14,0,0,16,1,-1,1
274328,14,5,854,1,72,16,4,1,1081,0,-1,1
136510,32,4,583,1,98,7,0,0,735,1,-1,1
726621,16,5,401,1,73,18,1,1,1237,1,-1,1
507811,84,0,4861,1,44,17,0,0,1043,0,-1,1
992349,1,2,5154,1,55,14,0,0,1220,1,-1,1
916757,91,4,9486,0,80,6,0,0,1065,0,-1,1
843817,0,4,9170,0,33,6,4,1,396,0,-1,1
311412,85,1,1891,1,97,7,1,1,14,0,-1,1
567549,80,4,587,1,89,6,1,1,1229,1,-1,1
482274,19,5,5596,1,97,13,3,1,839,1,-1,1
631895,84,3,5827,0,95,6,1,1,72,1,-1,1
989633,88,0,8114,0,80,15,1,1,156,0,-1,1
979757,92,3,9683,0,99,10,5,1,1078,0,-1,1
567012,53,3,9659,0,99,10,2,1,702,1,-1,1
124350,28,0,5719,0,56,17,2,1,735,1,-1,1
801587,33,1,2746,1,92,5,0,0,1194,1,-1,1
