user_id,retweet_count,mention_count,follower_count,verified,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days,bot_label,cluster,anomaly_score,is_anomaly
463487,26,4,653,1,79,18,0,0,1135,1,1,3.9450692719924025,1
267991,77,1,7006,0,50,3,2,1,1240,0,2,3.371524533908568,1
655941,8,0,7889,0,41,14,1,1,1022,1,2,3.399616682872035,1
105179,3,0,9348,1,101,13,3,1,543,1,0,3.7109501502758757,1
593803,91,1,9921,0,89,9,5,1,139,1,2,3.394863521268168,1
587424,20,5,8483,0,79,16,0,0,589,1,1,3.342445146002524,1
995013,14,4,543,0,91,13,5,1,946,0,2,3.315841205437692,1
506523,8,2,9318,0,36,7,1,1,151,0,2,3.3167010241343484,1
113232,49,4,4905,1,67,19,3,1,271,1,0,3.4073826103707034,1
711691,45,5,9583,1,91,6,1,1,826,0,0,3.326963271792668,1
592202,3,4,7168,1,39,6,5,1,9,0,0,3.4514823505208114,1
421319,5,3,3740,1,41,16,2,1,1196,0,0,3.4216471996064977,1
552104,100,4,7159,0,46,3,2,1,2,0,2,3.7443127856958327,1
301271,98,0,1735,0,72,14,3,1,27,0,2,3.360003087440836,1
749430,79,0,9602,1,40,7,4,1,72,0,0,3.345464912585044,1
589209,2,0,1407,0,59,5,2,1,1155,1,2,3.4108799956508924,1
505231,87,0,1889,0,43,5,5,1,955,1,2,3.358212414193649,1
882415,61,0,1430,1,92,6,5,1,1122,1,0,3.4656993764905706,1
832417,96,2,3594,1,82,20,2,1,921,0,0,4.1627795803467675,1
746001,56,5,9388,1,35,9,1,1,54,1,0,3.3494455299779813,1
396637,80,1,2121,1,28,16,0,0,97,0,1,3.8651253871151265,1
786228,84,5,9872,1,35,13,5,1,3,0,0,3.8234230545592878,1
752323,92,5,8803,1,50,13,1,1,92,0,0,3.350830953223889,1
142771,92,0,9332,0,82,7,5,1,1003,0,2,3.3601652638360466,1
711180,100,0,1285,1,88,12,1,1,1119,1,0,3.602117316053473,1
220537,97,0,1148,1,84,11,4,1,78,0,0,3.3172647640819393,1
665664,2,1,460,0,84,17,1,1,11,0,2,4.2331609523131,1
107175,48,0,7575,1,54,18,4,1,1216,1,0,3.7588495386777487,1
892815,0,5,2180,1,100,7,2,1,753,1,0,3.545619867474379,1
932300,29,1,725,1,62,20,5,1,12,1,0,4.451895260435254,1
129824,96,5,1130,1,43,15,0,0,1175,0,1,3.7861288071231636,1
216291,99,0,5172,1,71,17,4,1,714,1,0,3.417451399293689,1
795457,86,5,2081,0,83,7,1,1,1204,0,2,3.3291372656869282,1
867840,87,5,563,0,98,9,5,1,351,0,2,3.574047980531304,1
965162,0,4,8724,1,97,8,5,1,215,1,0,3.5742907682046727,1
814697,26,4,1800,0,60,18,2,1,430,0,2,3.3385404161140455,1
736427,60,0,190,1,39,16,2,1,1159,1,0,3.7596296607279087,1
236992,5,0,9549,0,77,14,0,0,220,1,1,3.4862743548827337,1
909824,86,0,8644,1,33,13,1,1,108,1,0,3.622598016440968,1
898670,69,0,9813,1,79,14,5,1,1243,1,0,3.5747167154469532,1
148188,79,0,2307,0,101,9,5,1,1188,1,2,3.6542221318610655,1
652617,81,0,451,1,47,6,1,1,149,0,0,3.3853673634159414,1
647825,1,1,150,1,53,15,0,0,10,1,1,3.727039650567352,1
