user_id,retweet_count,mention_count,follower_count,verified,tweet_length,username_length,hashtag_count,has_hashtag,account_age_days,bot_label,cluster,anomaly_score,is_anomaly
132131,85,1,2353,0,83,5,0,0,1114,1,1,3.1641207091090595,0
289683,55,5,9617,1,77,14,2,1,186,0,0,3.0571940544035523,0
779715,6,2,4363,1,61,10,2,1,296,0,0,1.897889579023212,0
696168,54,5,2242,1,49,6,4,1,654,1,0,2.3959769478066586,0
704441,26,3,8438,0,29,6,2,1,1142,1,2,3.2282154573750903,0
570928,41,4,3792,1,61,7,5,1,23,1,0,2.461591679464379,0
734182,54,0,10,1,40,9,1,1,860,0,0,2.9909786284753475,0
107312,64,0,1442,0,48,12,3,1,352,1,2,2.4165955622227067,0
549888,25,2,836,0,34,14,0,0,527,0,1,3.0206758047153692,0
117640,67,3,6523,0,72,11,2,1,305,1,2,1.5242425466590355,0
576805,57,4,8694,0,46,12,0,0,1003,1,1,2.48992562525131,0
758550,29,1,5986,1,59,12,4,1,809,1,0,1.627569717696278,0
383629,60,2,6779,0,48,5,0,0,716,0,1,2.2629993611973127,0
850918,61,0,6073,1,47,8,4,1,17,0,0,2.623764082235981,0
675134,21,2,4846,0,39,9,3,1,925,0,2,1.9721569044461533,0
607798,78,1,2342,0,77,10,2,1,892,0,2,2.0541969429204245,0
946597,64,5,6947,0,43,14,3,1,409,1,2,2.5785286027667724,0
212211,43,4,7945,0,70,11,2,1,179,0,2,2.023058216585953,0
595841,39,0,8305,1,58,9,4,1,876,1,0,2.154953164494757,0
295469,8,2,1256,0,44,9,4,1,165,0,2,2.674826825143414,0
463487,26,4,653,1,79,18,0,0,1135,1,1,3.9450692719924025,1
343343,84,4,5466,0,86,12,0,0,1187,0,1,2.846230173006483,0
631945,86,1,5131,1,54,7,3,1,670,1,0,1.875810141919396,0
926923,55,0,5278,0,91,7,2,1,1030,1,2,2.771609028512625,0
127337,56,1,3347,1,39,9,2,1,1029,1,0,2.2131867538295302,0
580954,43,2,4851,0,70,9,3,1,1080,0,2,1.4192165998716704,0
432390,49,5,7600,0,55,10,0,0,696,1,1,2.0562531873830068,0
131479,7,0,706,0,62,8,0,0,994,1,1,2.994066660974035,0
811404,75,1,7313,1,43,7,4,1,1104,1,0,2.574790956493698,0
138974,39,0,337,0,41,13,5,1,689,1,2,3.039460543057514,0
267991,77,1,7006,0,50,3,2,1,1240,0,2,3.371524533908568,1
688953,40,2,697,1,62,11,5,1,591,0,0,1.9895220307845534,0
391036,25,5,4517,1,54,8,5,1,410,0,0,2.2855061961364376,0
194223,15,2,1785,1,48,11,1,1,1165,0,0,2.7136581570152227,0
238448,85,0,4057,1,86,10,5,1,393,1,0,2.7393242614338096,0
381356,13,0,7925,0,84,6,4,1,825,0,2,2.967239900510102,0
387922,63,4,2804,1,51,10,3,1,922,1,0,1.6435908024239345,0
150095,75,4,3544,1,38,10,4,1,994,1,0,2.312660508154152,0
344916,58,1,2063,0,63,8,0,0,848,0,1,1.901800305413053,0
558415,34,5,466,0,78,9,2,1,512,0,2,2.50697498959671,0
725104,66,1,2852,0,70,10,3,1,677,1,2,1.367801318139728,0
814899,18,0,3782,1,47,12,2,1,787,0,0,2.360194224812786,0
187298,0,3,4581,0,56,15,1,1,15,0,2,3.24599180600398,0
763755,21,3,6979,0,35,6,2,1,606,0,2,2.5237613001705177,0
593693,7,3,7523,1,44,7,1,1,476,0,0,2.602929253038643,0
388689,39,0,3755,0,68,8,1,1,571,0,2,2.084951643863018,0
233166,34,4,6933,0,34,11,3,1,362,0,2,2.2849765222671694,0
460341,72,0,8386,0,48,7,0,0,560,1,1,2.6166248604947127,0
180001,24,5,4096,0,38,9,2,1,291,1,2,2.551479605251016,0
635556,77,0,7967,0,50,12,4,1,358,1,2,2.4752364519427763,0
522978,87,5,5785,1,88,9,3,1,1183,0,0,2.942993049954626,0
200604,44,1,7504,1,50,13,1,1,606,0,0,2.1803006487682937,0
